"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	9	1
18	9	1
19	9	1
20	9	1
21	9	1
22	9	1
23	9	1
24	9	1
25	9	1
26	9	1
27	9	1
28	8	2
29	8	2
30	8	2
31	8	2
32	8	2
33	8	2
34	8	2
35	8	2
36	8	2
37	8	2
38	8	2
39	8	2
40	8	2
41	8	2
42	8	2
43	8	2
44	8	2
45	8	2
46	8	2
47	8	2
48	8	2
49	8	2
50	8	2
51	8	2
52	8	2
53	8	2
54	8	2
55	8	2
56	8	2
57	8	2
58	8	2
59	8	2
60	8	2
61	8	2
62	8	2
63	8	2
64	8	2
65	8	2
66	8	2
67	8	2
68	8	2
69	8	2
70	8	2
71	8	2
72	8	2
73	8	2
74	8	2
75	8	2
76	8	2
77	8	2
78	8	2
79	8	2
80	8	2
81	8	2
82	8	2
83	8	2
84	8	2
85	8	2
86	8	2
87	8	2
88	8	2
89	8	2
90	8	2
91	8	2
92	8	2
93	8	2
94	8	2
95	8	2
96	8	2
97	8	2
98	8	2
99	8	2
100	8	2
